Experiment,rev,typ,Created,parent,accuracy,macro_f1,train.test_size,train.random_state,train.model,train.max_iter,data/iris.csv,params.yaml,src/train.py
,workspace,baseline,,,1.0,1.0,0.2,42,logistic_regression,200,ee5e6c3ad624ccf3a1ab6267d58b0976,4c529e15bee6112e746c04bf7a5c4865,60a21d45728171f082efd2d83b8fda39
,main,baseline,2025-08-29T17:21:22,,1.0,1.0,0.2,42,logistic_regression,200,ee5e6c3ad624ccf3a1ab6267d58b0976,4c529e15bee6112e746c04bf7a5c4865,60a21d45728171f082efd2d83b8fda39
